,state,sat_2018_part,sat_2018_ebrw,sat_2018_math,sat_2018_total,act_2018_part,act_2018_composite
0,Minnesota,4.0,643,655,1298,99.0,21.3
1,Wisconsin,3.0,641,653,1294,100.0,20.5
2,North Dakota,2.0,640,643,1283,98.0,20.3
3,Iowa,3.0,634,631,1265,68.0,21.8
4,Kansas,4.0,633,631,1265,71.0,21.6
5,Missouri,4.0,633,629,1262,100.0,20.0
6,Wyoming,3.0,633,625,1257,100.0,20.0
7,Nebraska,3.0,629,623,1252,100.0,20.1
8,Kentucky,4.0,630,618,1248,100.0,20.2
9,South Dakota,3.0,622,618,1240,77.0,21.9
10,Mississippi,3.0,630,606,1236,100.0,18.6
11,Tennessee,6.0,624,607,1231,100.0,19.6
12,Louisiana,4.0,615,595,1210,100.0,19.2
13,Montana,10.0,606,592,1198,100.0,20.0
14,Arkansas,5.0,592,576,1169,100.0,19.4
15,Alabama,6.0,595,571,1166,100.0,19.1
16,Arizona,29.0,577,572,1149,66.0,19.2
17,Nevada,23.0,574,566,1140,100.0,17.7
18,Massachusetts,80.0,562,563,1125,25.0,25.5
19,Vermont,64.0,565,554,1120,24.0,24.1
20,Oregon,48.0,564,553,1117,42.0,21.3
21,Virginia,68.0,567,550,1117,24.0,23.9
22,Alaska,43.0,562,544,1106,33.0,20.8
23,Florida,56.0,550,549,1099,66.0,19.9
24,Ohio,18.0,552,547,1099,100.0,20.3
25,North Carolina,52.0,554,543,1098,100.0,19.1
26,New Jersey,82.0,547,547,1094,31.0,23.7
27,New Mexico,16.0,552,540,1093,66.0,19.4
28,Pennsylvania,70.0,547,539,1086,20.0,23.5
29,Washington,69.0,543,538,1081,24.0,22.2
30,Maryland,76.0,545,535,1080,31.0,22.5
31,California,60.0,540,536,1076,27.0,22.7
32,Indiana,63.0,542,532,1074,32.0,22.5
33,South Carolina,55.0,547,523,1070,100.0,18.3
34,New York,79.0,534,534,1068,27.0,24.5
35,Georgia,70.0,542,522,1064,53.0,21.4
36,New Hampshire,96.0,535,528,1063,16.0,25.1
37,Oklahoma,8.0,541,521,1062,100.0,19.3
38,Connecticut,100.0,535,519,1053,26.0,25.6
39,Texas,66.0,520,512,1032,41.0,20.6
40,Colorado,100.0,519,506,1025,30.0,23.9
41,Illinois,99.0,513,506,1019,43.0,23.9
42,Rhode Island,97.0,513,505,1018,15.0,24.2
43,Maine,99.0,512,501,1013,7.0,24.0
44,Michigan,100.0,511,499,1011,22.0,24.4
45,Hawaii,56.0,480,530,1010,89.0,18.9
46,Utah,4.0,480,530,1010,100.0,20.4
47,Idaho,100.0,508,493,1001,36.0,22.3
48,West Virginia,28.0,513,486,999,65.0,20.3
49,Delaware,100.0,505,492,998,17.0,23.8
50,District of Columbia,92.0,497,480,977,32.0,23.6
